"filename", "language", "XML", "C#", "JSON", "comment", "blank", "total"
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\MovesEnum\MoveTargetType.cs", "C#", 0, 22, 0, 0, 3, 25
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\MovesEnum\MovesCategoryType.cs", "C#", 0, 13, 0, 3, 3, 19
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\NatureType.cs", "C#", 0, 11, 0, 0, 1, 12
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\PokemonEnum\AbillityType.cs", "C#", 0, 82, 0, 2, 5, 89
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\PokemonEnum\EggGroupType.cs", "C#", 0, 25, 0, 0, 2, 27
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\PokemonEnum\EvoMethodType.cs", "C#", 0, 38, 0, 5, 2, 45
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\PokemonEnum\GenderRatioType.cs", "C#", 0, 16, 0, 7, 2, 25
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\PokemonEnum\GenderType.cs", "C#", 0, 13, 0, 4, 2, 19
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\PokemonEnum\GrowthRateType.cs", "C#", 0, 18, 0, 0, 2, 20
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\PokemonEnum\MoveNameType.cs", "C#", 0, 570, 0, 1, 2, 573
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\PokemonEnum\PokemonType.cs", "C#", 0, 25, 0, 0, 2, 27
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\StatusType.cs", "C#", 0, 34, 0, 3, 3, 40
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\TileType.cs", "C#", 0, 14, 0, 0, 3, 17
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Interface\IBotBattle.cs", "C#", 0, 16, 0, 3, 2, 21
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Interface\ICatchable.cs", "C#", 0, 13, 0, 0, 2, 15
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Interface\IEvolvable.cs", "C#", 0, 13, 0, 0, 2, 15
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Interface\IMove.cs", "C#", 0, 11, 0, 0, 2, 13
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Interface\IMoveResult.cs", "C#", 0, 16, 0, 0, 2, 18
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Interface\IPartyPokemon.cs", "C#", 0, 15, 0, 0, 6, 21
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Interface\IStatusAffectable.cs", "C#", 0, 14, 0, 0, 3, 17
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Interface\ITrainer.cs", "C#", 0, 23, 0, 6, 7, 36
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Interface\ITyeable.cs", "C#", 0, 9, 0, 0, 2, 11
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\BattleSystem\Bot\RivalBot.cs", "C#", 0, 11, 0, 163, 16, 190
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\BattleSystem\Bot\WildPokemonBot.cs", "C#", 0, 13, 0, 114, 8, 135
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\BattleSystem\Player\PlayerPokemonBot.cs", "C#", 0, 15, 0, 104, 8, 127
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Helper\BattleHelper\BattleCaculaterHelper.cs", "C#", 0, 13, 0, 162, 32, 207
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Helper\DataHelper\MoveHelper\MoveHelper.cs", "C#", 0, 124, 0, 6, 3, 133
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Helper\DataHelper\PokemonData\EvolutionHelper.cs", "C#", 0, 9, 0, 1, 3, 13
